top_group,file_count,bytes,png_count,png_unique_sha256,feature_tags
hoatdong,461,1617002,461,459,activity_actac;activity_tbd;activity_thuylao;captcha;consumable_shop;heal_buff;party_follow;pet_mount;quest_level;storage;trade_transfer;train_combat;travel_navigation
ItemSell_TrangVatPham,435,1374459,435,317,inventory_sell;party_follow
saveImage,218,118055,218,151,vision_perception
itemrac,91,147624,91,91,inventory_sell
thuylao,59,70143,59,59,activity_actac;activity_thuylao;party_follow;train_combat;travel_navigation
<root>,35,18477213,0,0,
PT,35,31821,35,35,party_follow
level,27,53608,27,25,party_follow;quest_level;train_combat
truyen,27,26314,27,27,party_follow;travel_navigation
Item_vaokho,19,71239,19,19,storage
ItemSell_TrangNgoc,11,15080,11,11,inventory_sell
x86,10,49220812,3,3,
tranthu,4,6156,4,1,
luufile,3,325,0,0,
x64,3,52228096,0,0,
OUT_KHO,2,3096,2,2,storage
KEY_KHO,1,1457,1,1,storage
hu,1,6144,0,0,
it,1,6144,0,0,
nl-BE,1,6144,0,0,
pt-BR,1,6144,0,0,
ro,1,6144,0,0,
ru,1,6144,0,0,
sv,1,6144,0,0,
tessdata,1,23466654,0,0,
zh-Hans,1,6144,0,0,
