path,name,virtual_address,virtual_size,raw_size,raw_offset,entropy
AdbWinApi.dll,.text,0x1000,81841,81920,1024,6.5298
AdbWinApi.dll,.data,0x15000,11620,4608,82944,2.2975
AdbWinApi.dll,.rsrc,0x18000,1032,1536,87552,2.2833
AdbWinApi.dll,.reloc,0x19000,6784,7168,89088,4.4878
AdbWinUsbApi.dll,.text,0x1000,48846,49152,1024,6.5163
AdbWinUsbApi.dll,.data,0xD000,6596,3584,50176,2.549
AdbWinUsbApi.dll,.rsrc,0xF000,1064,1536,53760,2.3732
AdbWinUsbApi.dll,.reloc,0x10000,5300,5632,55296,3.9568
AutoUpdater.NET.dll,.text,0x2000,453076,453120,512,5.8601
AutoUpdater.NET.dll,.rsrc,0x72000,1536,1536,453632,2.8141
AutoUpdater.NET.dll,.reloc,0x74000,12,512,455168,0.0815
Auto_ThanLong_Kteam_0789998118.exe,        ,0x2000,3031040,2819584,1024,7.9579
Auto_ThanLong_Kteam_0789998118.exe,        ,0x2E6000,214336,166400,2820608,7.9604
Auto_ThanLong_Kteam_0789998118.exe,        ,0x31C000,12,512,2987008,1.5519
Auto_ThanLong_Kteam_0789998118.exe,.idata,0x31E000,8192,512,2987520,1.1486
Auto_ThanLong_Kteam_0789998118.exe,.rsrc,0x320000,214528,214528,2988032,6.4829
Auto_ThanLong_Kteam_0789998118.exe,.themida,0x356000,5939200,0,3202560,0.0
Auto_ThanLong_Kteam_0789998118.exe,.boot,0x900000,3573248,3573248,3202560,7.9581
Auto_ThanLong_obfusca.exe,Fl.j&!,0x2000,2861236,2861568,1024,7.9999
Auto_ThanLong_obfusca.exe,.text,0x2BE000,133880,134144,2862592,5.6084
Auto_ThanLong_obfusca.exe,.rsrc,0x2E0000,214260,214528,2996736,6.4821
Auto_ThanLong_obfusca.exe,,0x316000,16,512,3211264,0.1426
Auto_ThanLong_obfusca.exe,.reloc,0x318000,12,512,3211776,0.098
Emgu.CV.World.dll,.text,0x2000,639140,639488,512,5.8277
Emgu.CV.World.dll,.rsrc,0xA0000,992,1024,640000,3.1977
Emgu.CV.World.dll,.reloc,0xA2000,12,512,641024,0.1019
KAutoHelper.dll,.text,0x2000,49576,49664,512,6.0078
KAutoHelper.dll,.rsrc,0x10000,904,1024,50176,2.8533
KAutoHelper.dll,.reloc,0x12000,12,512,51200,0.0815
Microsoft.Web.WebView2.Core.dll,.text,0x2000,460152,460288,512,5.5092
Microsoft.Web.WebView2.Core.dll,.rsrc,0x74000,1000,1024,460800,3.2727
Microsoft.Web.WebView2.Core.dll,.reloc,0x76000,12,512,461824,0.1019
Microsoft.Web.WebView2.WinForms.dll,.text,0x2000,25216,25600,512,5.8486
Microsoft.Web.WebView2.WinForms.dll,.rsrc,0xA000,1028,1536,26112,2.4214
Microsoft.Web.WebView2.WinForms.dll,.reloc,0xC000,12,512,27648,0.0815
Microsoft.Web.WebView2.Wpf.dll,.text,0x2000,32088,32256,512,5.872
Microsoft.Web.WebView2.Wpf.dll,.rsrc,0xA000,984,1024,32768,3.2085
Microsoft.Web.WebView2.Wpf.dll,.reloc,0xC000,12,512,33792,0.0815
Newtonsoft.Json.dll,.text,0x2000,691412,691712,512,5.9245
Newtonsoft.Json.dll,.rsrc,0xAC000,1188,1536,692224,2.7573
Newtonsoft.Json.dll,.reloc,0xAE000,12,512,693760,0.1019
System.ComponentModel.Annotations.dll,.text,0x2000,22600,23040,512,5.0431
System.ComponentModel.Annotations.dll,.rsrc,0x8000,2952,3072,23552,3.3957
System.ComponentModel.Annotations.dll,.reloc,0xA000,12,512,26624,0.0815
System.Runtime.CompilerServices.Unsafe.dll,.text,0x2000,4708,5120,512,4.9523
System.Runtime.CompilerServices.Unsafe.dll,.rsrc,0x4000,1536,1536,5632,3.4721
System.Runtime.CompilerServices.Unsafe.dll,.reloc,0x6000,12,512,7168,0.0815
System.Threading.Tasks.Extensions.dll,.text,0x2000,14048,14336,512,5.6817
System.Threading.Tasks.Extensions.dll,.rsrc,0x6000,1488,1536,14848,3.3987
System.Threading.Tasks.Extensions.dll,.reloc,0x8000,12,512,16384,0.0815
Tesseract.dll,.text,0x2000,129224,129536,512,5.8837
Tesseract.dll,.rsrc,0x22000,1776,2048,130048,3.0157
Tesseract.dll,.reloc,0x24000,12,512,132096,0.1019
Xceed.Wpf.AvalonDock.Themes.Aero.dll,.text,0x2000,84184,84480,512,6.1027
Xceed.Wpf.AvalonDock.Themes.Aero.dll,.rsrc,0x18000,1296,1536,84992,2.9474
Xceed.Wpf.AvalonDock.Themes.Aero.dll,.reloc,0x1A000,12,512,86528,0.1019
Xceed.Wpf.AvalonDock.Themes.Metro.dll,.text,0x2000,76624,76800,512,5.6689
Xceed.Wpf.AvalonDock.Themes.Metro.dll,.rsrc,0x16000,1304,1536,77312,2.9713
Xceed.Wpf.AvalonDock.Themes.Metro.dll,.reloc,0x18000,12,512,78848,0.1019
Xceed.Wpf.AvalonDock.Themes.VS2010.dll,.text,0x2000,81756,81920,512,5.7394
Xceed.Wpf.AvalonDock.Themes.VS2010.dll,.rsrc,0x16000,1312,1536,82432,2.9867
Xceed.Wpf.AvalonDock.Themes.VS2010.dll,.reloc,0x18000,12,512,83968,0.1019
Xceed.Wpf.AvalonDock.dll,.text,0x2000,452460,452608,512,6.0999
Xceed.Wpf.AvalonDock.dll,.rsrc,0x72000,1332,1536,453120,3.0154
Xceed.Wpf.AvalonDock.dll,.reloc,0x74000,12,512,454656,0.0815
Xceed.Wpf.Toolkit.dll,.text,0x2000,1208312,1208320,512,6.2916
Xceed.Wpf.Toolkit.dll,.rsrc,0x12A000,1156,1536,1208832,2.6754
Xceed.Wpf.Toolkit.dll,.reloc,0x12C000,12,512,1210368,0.1019
hu/Xceed.Wpf.AvalonDock.resources.dll,.text,0x2000,3204,3584,512,5.0162
hu/Xceed.Wpf.AvalonDock.resources.dll,.rsrc,0x4000,1368,1536,4096,3.0673
hu/Xceed.Wpf.AvalonDock.resources.dll,.reloc,0x6000,12,512,5632,0.0815
it/Xceed.Wpf.AvalonDock.resources.dll,.text,0x2000,3172,3584,512,4.9019
it/Xceed.Wpf.AvalonDock.resources.dll,.rsrc,0x4000,1368,1536,4096,3.0673
it/Xceed.Wpf.AvalonDock.resources.dll,.reloc,0x6000,12,512,5632,0.0815
nl-BE/Xceed.Wpf.AvalonDock.resources.dll,.text,0x2000,3172,3584,512,4.9051
nl-BE/Xceed.Wpf.AvalonDock.resources.dll,.rsrc,0x4000,1368,1536,4096,3.0673
nl-BE/Xceed.Wpf.AvalonDock.resources.dll,.reloc,0x6000,12,512,5632,0.0815
pt-BR/Xceed.Wpf.AvalonDock.resources.dll,.text,0x2000,3140,3584,512,4.8691
pt-BR/Xceed.Wpf.AvalonDock.resources.dll,.rsrc,0x4000,1368,1536,4096,3.0673
pt-BR/Xceed.Wpf.AvalonDock.resources.dll,.reloc,0x6000,12,512,5632,0.0815
ro/Xceed.Wpf.AvalonDock.resources.dll,.text,0x2000,3172,3584,512,4.9351
ro/Xceed.Wpf.AvalonDock.resources.dll,.rsrc,0x4000,1368,1536,4096,3.0673
ro/Xceed.Wpf.AvalonDock.resources.dll,.reloc,0x6000,12,512,5632,0.0815
