caller_method,caller_type,direct_targets,edge_count,evidence
SendClickOnPosition,KAutoHelper.AutoControl,KAutoHelper.AutoControl.MakeLParamFromXY -> System.IntPtr..ctor -> KAutoHelper.AutoControl.PostMessage,11,decoded IL MethodDef
CaptureWindow,KAutoHelper.CaptureHelper,User32.GetWindowDC -> User32.GetWindowRect -> GDI32.CreateCompatibleDC -> GDI32.CreateCompatibleBitmap -> GDI32.SelectObject -> GDI32.BitBlt -> GDI32.DeleteDC -> User32.ReleaseDC -> System.Drawing.Image.FromHbitmap -> GDI32.DeleteObject,11,decoded IL MethodDef
FindOutPoint,KAutoHelper.ImageScanOpenCV,System.Drawing.Image.get_Width -> System.Drawing.Image.get_Height -> .ctor -> MatchTemplate -> MinMax -> System.IDisposable.Dispose -> System.GC.Collect -> System.GC.WaitForPendingFinalizers,12,decoded IL MethodDef
FindOutPoints,KAutoHelper.ImageScanOpenCV,.ctor -> MatchTemplate -> MinMax -> get_Size -> System.Drawing.Rectangle..ctor -> System.Drawing.Color.get_Blue -> Emgu.CV.Structure.Bgr..ctor -> Draw -> Add -> System.IDisposable.Dispose,12,decoded IL MethodDef
GetNoxTitleFromADBPort,KAutoHelper.NoxMultiIni,<>c__DisplayClass13_0..ctor -> KAutoHelper.ProcessHelper.GetNetStatPorts -> KAutoHelper.NoxMultiIni.set_Ports -> KAutoHelper.NoxMultiIni.GetNoxMultiIni -> KAutoHelper.NoxMultiIni.get_Ports -> .ctor -> KAutoHelper.NoxMultiIni.get_pid -> System.Diagnostics.Process.GetProcessById -> System.Diagnostics.Process.get_MainWindowTitle,14,decoded IL MethodDef
ConnectNox,KAutoHelper.ADBHelper,System.String.Concat -> System.Environment.get_NewLine -> KAutoHelper.ADBHelper.ExecuteCMD,5,decoded IL MethodDef
ScreenShoot,KAutoHelper.ADBHelper,System.String.IsNullOrEmpty -> KAutoHelper.ADBHelper.GetDevices -> get_Count -> System.String.Split -> System.IO.Path.GetFileNameWithoutExtension -> System.IO.Path.GetExtension -> System.String.Concat -> System.IO.File.Exists -> System.IO.File.Delete -> System.String.Format -> System.Environment.get_NewLine -> KAutoHelper.ADBHelper.ExecuteCMD -> System.Drawing.Bitmap..ctor -> System.IDisposable.Dispose,26,decoded IL MethodDef
Tap,KAutoHelper.ADBHelper,System.String.Format -> System.String.Concat -> KAutoHelper.ADBHelper.ExecuteCMD,4,decoded IL MethodDef
Swipe,KAutoHelper.ADBHelper,System.String.Format -> KAutoHelper.ADBHelper.ExecuteCMD,2,decoded IL MethodDef
FindImageAndClick,KAutoHelper.ADBHelper,System.IO.DirectoryInfo..ctor -> System.IO.DirectoryInfo.GetFiles -> KAutoHelper.ADBHelper.ScreenShoot -> KAutoHelper.ADBHelper.Delay -> System.IO.FileSystemInfo.get_FullName -> System.Drawing.Image.FromFile -> KAutoHelper.ImageScanOpenCV.FindOutPoint -> get_HasValue -> get_Value -> System.Drawing.Point.get_X -> System.Drawing.Point.get_Y -> KAutoHelper.ADBHelper.Tap,15,decoded IL MethodDef
