assembly,rid,parent_kind,parent_type,member_name,feature_tags
Auto_ThanLong_obfusca.exe,320,TypeRef,System.Net.Http.HttpClient,.ctor,
Auto_ThanLong_obfusca.exe,321,TypeRef,System.Net.Http.HttpClient,get_DefaultRequestHeaders,quest_level
Auto_ThanLong_obfusca.exe,322,TypeRef,System.Net.Http.Headers.AuthenticationHeaderValue,.ctor,
Auto_ThanLong_obfusca.exe,323,TypeRef,System.Net.Http.Headers.HttpRequestHeaders,set_Authorization,quest_level
Auto_ThanLong_obfusca.exe,325,TypeRef,System.Net.Http.Headers.HttpHeaders,Add,
Auto_ThanLong_obfusca.exe,327,TypeRef,System.Net.Http.HttpClient,PostAsync,
Auto_ThanLong_obfusca.exe,328,TypeRef,System.Net.Http.HttpResponseMessage,get_StatusCode,
Auto_ThanLong_obfusca.exe,329,TypeRef,System.Net.Http.HttpResponseMessage,get_Content,
Auto_ThanLong_obfusca.exe,330,TypeRef,System.Net.Http.HttpContent,ReadAsStringAsync,
Auto_ThanLong_obfusca.exe,339,TypeRef,Newtonsoft.Json.JsonConvert,DeserializeObject,
Auto_ThanLong_obfusca.exe,344,TypeRef,System.Net.Http.Headers.HttpHeaders,TryAddWithoutValidation,
Auto_ThanLong_obfusca.exe,345,TypeRef,System.Net.Http.FormUrlEncodedContent,.ctor,
Auto_ThanLong_obfusca.exe,348,TypeRef,System.Net.Http.HttpClient,GetAsync,
Auto_ThanLong_obfusca.exe,391,TypeRef,AutoUpdaterDotNET.AutoUpdater,DownloadPath,auth_update
Auto_ThanLong_obfusca.exe,477,TypeRef,AutoUpdaterDotNET.AutoUpdater,add_CheckForUpdateEvent,auth_update
Auto_ThanLong_obfusca.exe,564,TypeRef,AutoUpdaterDotNET.AutoUpdater,Start,auth_update
Auto_ThanLong_obfusca.exe,575,TypeRef,AutoUpdaterDotNET.UpdateInfoEventArgs,get_IsUpdateAvailable,auth_update
Auto_ThanLong_obfusca.exe,577,TypeRef,AutoUpdaterDotNET.AutoUpdater,DownloadUpdate,auth_update
Auto_ThanLong_obfusca.exe,587,TypeRef,System.Net.Http.MultipartFormDataContent,.ctor,
Auto_ThanLong_obfusca.exe,588,TypeRef,System.Net.Http.StringContent,.ctor,
Auto_ThanLong_obfusca.exe,589,TypeRef,System.Net.Http.MultipartFormDataContent,Add,
Auto_ThanLong_obfusca.exe,590,TypeRef,System.Net.Http.ByteArrayContent,.ctor,
Auto_ThanLong_obfusca.exe,591,TypeRef,System.Net.Http.MultipartFormDataContent,Add,
Auto_ThanLong_obfusca.exe,592,TypeRef,System.Net.Http.HttpResponseMessage,get_IsSuccessStatusCode,
