assembly,rid,declaring_type,name,rva,flags,impl_flags,body_status,feature_tags
KAutoHelper.dll,1,KAutoHelper.ADBHelper,SetADBFolderPath,0x2050,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,2,KAutoHelper.ADBHelper,ExecuteCMD,0x2094,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,3,KAutoHelper.ADBHelper,GetDevices,0x2154,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,4,KAutoHelper.ADBHelper,GetDeviceName,0x222C,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,5,KAutoHelper.ADBHelper,TapByPercent,0x2254,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,6,KAutoHelper.ADBHelper,Tap,0x2304,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,7,KAutoHelper.ADBHelper,Key,0x2368,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,8,KAutoHelper.ADBHelper,InputText,0x2390,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,9,KAutoHelper.ADBHelper,SwipeByPercent,0x2458,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,10,KAutoHelper.ADBHelper,Swipe,0x2540,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,11,KAutoHelper.ADBHelper,LongPress,0x259C,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,12,KAutoHelper.ADBHelper,GetScreenResolution,0x25F4,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,13,KAutoHelper.ADBHelper,ScreenShoot,0x2684,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,14,KAutoHelper.ADBHelper,ConnectNox,0x2810,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,15,KAutoHelper.ADBHelper,PlanModeON,0x28B0,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,16,KAutoHelper.ADBHelper,PlanModeOFF,0x2910,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,17,KAutoHelper.ADBHelper,Delay,0x2970,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,18,KAutoHelper.ADBHelper,FindImage,0x29B4,0x0096,0x0000,valid_il_header,vision_perception
KAutoHelper.dll,19,KAutoHelper.ADBHelper,FindImageAndClick,0x2ADC,0x0096,0x0000,valid_il_header,vision_perception
KAutoHelper.dll,20,KAutoHelper.ADBHelper,.ctor,0x2C14,0x1886,0x0000,valid_il_header,
KAutoHelper.dll,21,KAutoHelper.ADBHelper,.cctor,0x2C20,0x1891,0x0000,valid_il_header,
KAutoHelper.dll,22,KAutoHelper.BitmapConversion,BitmapToBitmapSource,0x2C9C,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,23,KAutoHelper.NoxMultiIni,get_pid,0x2CD4,0x0886,0x0000,valid_il_header,
KAutoHelper.dll,24,KAutoHelper.NoxMultiIni,set_pid,0x2CDC,0x0886,0x0000,valid_il_header,
KAutoHelper.dll,25,KAutoHelper.NoxMultiIni,get_vmpid,0x2CE5,0x0886,0x0000,valid_il_header,
KAutoHelper.dll,26,KAutoHelper.NoxMultiIni,set_vmpid,0x2CED,0x0886,0x0000,valid_il_header,
KAutoHelper.dll,27,KAutoHelper.NoxMultiIni,get_Ports,0x2CF6,0x0891,0x0000,valid_il_header,
KAutoHelper.dll,28,KAutoHelper.NoxMultiIni,set_Ports,0x2CFD,0x0891,0x0000,valid_il_header,
KAutoHelper.dll,29,KAutoHelper.NoxMultiIni,GetNoxMultiIni,0x2D08,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,30,KAutoHelper.NoxMultiIni,GetNoxTitleFromADBPort,0x2DB4,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,31,KAutoHelper.NoxMultiIni,.ctor,0x2C14,0x1886,0x0000,valid_il_header,
KAutoHelper.dll,32,KAutoHelper.AutoControl,FindWindow,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,33,KAutoHelper.AutoControl,EnumChildWindows,0x0,0x2096,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,34,KAutoHelper.AutoControl,GetWindowText,0x0,0x2096,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,35,KAutoHelper.AutoControl,GetClassName,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,36,KAutoHelper.AutoControl,FindWindowByCaption,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,37,KAutoHelper.AutoControl,SendMessage,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,38,KAutoHelper.AutoControl,SendMessage,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,39,KAutoHelper.AutoControl,SendMessage,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,40,KAutoHelper.AutoControl,SendMessage,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,41,KAutoHelper.AutoControl,SendMessage,0x0,0x2096,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,42,KAutoHelper.AutoControl,GetDlgItem,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,43,KAutoHelper.AutoControl,SetDlgItemTextA,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,44,KAutoHelper.AutoControl,FindWindowEx,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,45,KAutoHelper.AutoControl,PostMessage,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,46,KAutoHelper.AutoControl,PostMessage,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,47,KAutoHelper.AutoControl,SetForegroundWindow,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,48,KAutoHelper.AutoControl,GetWindowRect,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,49,KAutoHelper.AutoControl,EnumChildWindows,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,50,KAutoHelper.AutoControl,mouse_event,0x0,0x2096,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,51,KAutoHelper.AutoControl,MoveWindow,0x0,0x2096,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,52,KAutoHelper.AutoControl,SendInput,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,53,KAutoHelper.AutoControl,IsWindowVisible,0x0,0x2091,0x0080,pinvoke_or_abstract,
KAutoHelper.dll,54,KAutoHelper.AutoControl,BringToFront,0x2E34,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,55,KAutoHelper.AutoControl,BringToFront,0x2E58,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,56,KAutoHelper.AutoControl,IsWindowVisible_,0x2E74,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,57,KAutoHelper.AutoControl,FindWindowHandle,0x2E8C,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,58,KAutoHelper.AutoControl,FindWindowHandlesFromProcesses,0x2EB0,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,59,KAutoHelper.AutoControl,FindWindowHandleFromProcesses,0x2F4C,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,60,KAutoHelper.AutoControl,FindWindowExFromParent,0x3004,0x0096,0x0000,valid_il_header,
KAutoHelper.dll,61,KAutoHelper.AutoControl,FindWindowByIndex,0x3024,0x0091,0x0000,valid_il_header,
KAutoHelper.dll,62,KAutoHelper.AutoControl,GetControlHandleFromControlID,0x308C,0x0096,0x0000,valid_il_header,
