caller_type,caller_method,caller_rid,il_offset,opcode,target_kind,target_type,target_method,target_token
KAutoHelper.ADBHelper,SetADBFolderPath,1,13,call,MemberRef,System.String,Concat,0x0A000012
KAutoHelper.ADBHelper,SetADBFolderPath,1,28,call,MemberRef,System.IO.File,Exists,0x0A000013
KAutoHelper.ADBHelper,ExecuteCMD,2,2,newobj,MemberRef,System.Diagnostics.Process,.ctor,0x0A000014
KAutoHelper.ADBHelper,ExecuteCMD,2,8,newobj,MemberRef,System.Diagnostics.ProcessStartInfo,.ctor,0x0A000015
KAutoHelper.ADBHelper,ExecuteCMD,2,20,callvirt,MemberRef,System.Diagnostics.ProcessStartInfo,set_WorkingDirectory,0x0A000016
KAutoHelper.ADBHelper,ExecuteCMD,2,32,callvirt,MemberRef,System.Diagnostics.ProcessStartInfo,set_FileName,0x0A000017
KAutoHelper.ADBHelper,ExecuteCMD,2,40,callvirt,MemberRef,System.Diagnostics.ProcessStartInfo,set_CreateNoWindow,0x0A000018
KAutoHelper.ADBHelper,ExecuteCMD,2,48,callvirt,MemberRef,System.Diagnostics.ProcessStartInfo,set_UseShellExecute,0x0A000019
KAutoHelper.ADBHelper,ExecuteCMD,2,56,callvirt,MemberRef,System.Diagnostics.ProcessStartInfo,set_WindowStyle,0x0A00001A
KAutoHelper.ADBHelper,ExecuteCMD,2,64,callvirt,MemberRef,System.Diagnostics.ProcessStartInfo,set_RedirectStandardInput,0x0A00001B
KAutoHelper.ADBHelper,ExecuteCMD,2,72,callvirt,MemberRef,System.Diagnostics.ProcessStartInfo,set_RedirectStandardOutput,0x0A00001C
KAutoHelper.ADBHelper,ExecuteCMD,2,80,callvirt,MemberRef,System.Diagnostics.Process,set_StartInfo,0x0A00001D
KAutoHelper.ADBHelper,ExecuteCMD,2,87,callvirt,MemberRef,System.Diagnostics.Process,Start,0x0A00001E
KAutoHelper.ADBHelper,ExecuteCMD,2,94,callvirt,MemberRef,System.Diagnostics.Process,get_StandardInput,0x0A00001F
KAutoHelper.ADBHelper,ExecuteCMD,2,100,callvirt,MemberRef,System.IO.TextWriter,WriteLine,0x0A000020
KAutoHelper.ADBHelper,ExecuteCMD,2,107,callvirt,MemberRef,System.Diagnostics.Process,get_StandardInput,0x0A00001F
KAutoHelper.ADBHelper,ExecuteCMD,2,112,callvirt,MemberRef,System.IO.TextWriter,Flush,0x0A000021
KAutoHelper.ADBHelper,ExecuteCMD,2,119,callvirt,MemberRef,System.Diagnostics.Process,get_StandardInput,0x0A00001F
KAutoHelper.ADBHelper,ExecuteCMD,2,124,callvirt,MemberRef,System.IO.TextWriter,Close,0x0A000022
KAutoHelper.ADBHelper,ExecuteCMD,2,131,callvirt,MemberRef,System.Diagnostics.Process,WaitForExit,0x0A000023
KAutoHelper.ADBHelper,ExecuteCMD,2,138,callvirt,MemberRef,System.Diagnostics.Process,get_StandardOutput,0x0A000024
KAutoHelper.ADBHelper,ExecuteCMD,2,143,callvirt,MemberRef,System.IO.TextReader,ReadToEnd,0x0A000025
KAutoHelper.ADBHelper,GetDevices,3,1,newobj,MemberRef,,.ctor,0x0A000026
KAutoHelper.ADBHelper,GetDevices,3,12,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,GetDevices,3,28,call,MemberRef,System.Text.RegularExpressions.Regex,Matches,0x0A000027
KAutoHelper.ADBHelper,GetDevices,3,35,callvirt,MemberRef,System.Text.RegularExpressions.MatchCollection,get_Count,0x0A000028
KAutoHelper.ADBHelper,GetDevices,3,55,callvirt,MemberRef,System.Text.RegularExpressions.MatchCollection,get_Item,0x0A000029
KAutoHelper.ADBHelper,GetDevices,3,60,callvirt,MemberRef,System.Text.RegularExpressions.Match,get_Groups,0x0A00002A
KAutoHelper.ADBHelper,GetDevices,3,66,callvirt,MemberRef,System.Text.RegularExpressions.GroupCollection,get_Item,0x0A00002B
KAutoHelper.ADBHelper,GetDevices,3,71,callvirt,MemberRef,System.Text.RegularExpressions.Capture,get_Value,0x0A00002C
KAutoHelper.ADBHelper,GetDevices,3,85,call,MemberRef,System.Text.RegularExpressions.Regex,Split,0x0A00002D
KAutoHelper.ADBHelper,GetDevices,3,112,call,MemberRef,System.String,IsNullOrEmpty,0x0A00002E
KAutoHelper.ADBHelper,GetDevices,3,126,call,MemberRef,System.String,op_Inequality,0x0A00002F
KAutoHelper.ADBHelper,GetDevices,3,143,callvirt,MemberRef,System.String,Trim,0x0A000030
KAutoHelper.ADBHelper,GetDevices,3,158,callvirt,MemberRef,System.String,Replace,0x0A000031
KAutoHelper.ADBHelper,GetDevices,3,168,callvirt,MemberRef,System.String,Trim,0x0A000030
KAutoHelper.ADBHelper,GetDevices,3,173,callvirt,MemberRef,,Add,0x0A000032
KAutoHelper.ADBHelper,GetDeviceName,4,14,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,TapByPercent,5,2,call,MethodDef,KAutoHelper.ADBHelper,GetScreenResolution,0x0600000C
KAutoHelper.ADBHelper,TapByPercent,5,11,call,MemberRef,System.Drawing.Point,get_X,0x0A000033
KAutoHelper.ADBHelper,TapByPercent,5,43,call,MemberRef,System.Drawing.Point,get_Y,0x0A000034
KAutoHelper.ADBHelper,TapByPercent,5,90,call,MemberRef,System.String,Format,0x0A000035
KAutoHelper.ADBHelper,TapByPercent,5,126,call,MemberRef,System.String,Format,0x0A000035
KAutoHelper.ADBHelper,TapByPercent,5,131,call,MemberRef,System.String,Concat,0x0A000036
KAutoHelper.ADBHelper,TapByPercent,5,156,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,Tap,6,19,call,MemberRef,System.String,Format,0x0A000035
KAutoHelper.ADBHelper,Tap,6,54,call,MemberRef,System.String,Format,0x0A000035
KAutoHelper.ADBHelper,Tap,6,59,call,MemberRef,System.String,Concat,0x0A000036
KAutoHelper.ADBHelper,Tap,6,79,call,MethodDef,KAutoHelper.ADBHelper,ExecuteCMD,0x06000002
KAutoHelper.ADBHelper,Key,7,13,call,MemberRef,System.String,Format,0x0A000037
