assembly,rid,parent_kind,parent_type,member_name,feature_tags
Auto_ThanLong_obfusca.exe,391,TypeRef,AutoUpdaterDotNET.AutoUpdater,DownloadPath,auth_update
Auto_ThanLong_obfusca.exe,477,TypeRef,AutoUpdaterDotNET.AutoUpdater,add_CheckForUpdateEvent,auth_update
Auto_ThanLong_obfusca.exe,495,TypeRef,KAutoHelper.AutoControl,FindWindowHandlesFromProcesses,
Auto_ThanLong_obfusca.exe,496,TypeRef,KAutoHelper.AutoControl,GetText,
Auto_ThanLong_obfusca.exe,499,TypeRef,KAutoHelper.AutoControl,SendClickOnPosition,
Auto_ThanLong_obfusca.exe,501,TypeRef,KAutoHelper.AutoControl,SendTextKeyBoard,
Auto_ThanLong_obfusca.exe,502,TypeRef,KAutoHelper.AutoControl,SendKeyBoardPress,
Auto_ThanLong_obfusca.exe,503,TypeRef,KAutoHelper.AutoControl,SendDragAndDropOnPosition,
Auto_ThanLong_obfusca.exe,514,TypeRef,KAutoHelper.CaptureHelper,CaptureWindow,party_follow
Auto_ThanLong_obfusca.exe,516,TypeRef,KAutoHelper.ImageScanOpenCV,FindOutPoints,vision_perception
Auto_ThanLong_obfusca.exe,519,TypeRef,KAutoHelper.CaptureHelper,CropImage,party_follow;vision_perception
Auto_ThanLong_obfusca.exe,520,TypeRef,KAutoHelper.ImageScanOpenCV,FindOutPoint,vision_perception
Auto_ThanLong_obfusca.exe,521,TypeRef,Tesseract.TesseractEngine,.ctor,
Auto_ThanLong_obfusca.exe,523,TypeRef,Tesseract.TesseractEngine,SetVariable,
Auto_ThanLong_obfusca.exe,524,TypeRef,Tesseract.TesseractEngine,Process,
Auto_ThanLong_obfusca.exe,525,TypeRef,Tesseract.Page,GetText,
Auto_ThanLong_obfusca.exe,545,TypeRef,KAutoHelper.ADBHelper,Delay,
Auto_ThanLong_obfusca.exe,564,TypeRef,AutoUpdaterDotNET.AutoUpdater,Start,auth_update
Auto_ThanLong_obfusca.exe,575,TypeRef,AutoUpdaterDotNET.UpdateInfoEventArgs,get_IsUpdateAvailable,auth_update
Auto_ThanLong_obfusca.exe,577,TypeRef,AutoUpdaterDotNET.AutoUpdater,DownloadUpdate,auth_update
Auto_ThanLong_obfusca.exe,605,TypeRef,KAutoHelper.ProcessHelper,GetNetStatPorts,
Auto_ThanLong_obfusca.exe,607,TypeRef,KAutoHelper.Port,get_port_number,
Auto_ThanLong_obfusca.exe,608,TypeRef,KAutoHelper.Port,get_pid,
