assembly,rid,parent_kind,parent_type,member_name,feature_tags
Auto_ThanLong_obfusca.exe,45,TypeRef,System.Threading.ParameterizedThreadStart,.ctor,
Auto_ThanLong_obfusca.exe,46,TypeRef,System.Threading.Thread,.ctor,
Auto_ThanLong_obfusca.exe,47,TypeRef,System.Threading.Thread,set_IsBackground,
Auto_ThanLong_obfusca.exe,48,TypeRef,System.Threading.Thread,Start,
Auto_ThanLong_obfusca.exe,52,TypeRef,System.Threading.Thread,Sleep,
Auto_ThanLong_obfusca.exe,53,TypeRef,System.Threading.Thread,get_CurrentThread,
Auto_ThanLong_obfusca.exe,54,TypeRef,System.Threading.Thread,get_IsAlive,
Auto_ThanLong_obfusca.exe,130,TypeRef,System.Threading.Interlocked,CompareExchange,
Auto_ThanLong_obfusca.exe,365,TypeRef,System.Windows.Threading.DispatcherObject,get_Dispatcher,
Auto_ThanLong_obfusca.exe,366,TypeRef,System.Windows.Threading.Dispatcher,Invoke,
Auto_ThanLong_obfusca.exe,369,TypeRef,System.Threading.Tasks.Task,.ctor,
Auto_ThanLong_obfusca.exe,370,TypeRef,System.Threading.Tasks.Task,Start,
Auto_ThanLong_obfusca.exe,392,TypeRef,System.Timers.ElapsedEventHandler,.ctor,
Auto_ThanLong_obfusca.exe,449,TypeRef,System.Threading.ThreadStart,.ctor,
Auto_ThanLong_obfusca.exe,469,TypeRef,System.Windows.Threading.DispatcherTimer,.ctor,
Auto_ThanLong_obfusca.exe,479,TypeRef,System.Timers.Timer,.ctor,
Auto_ThanLong_obfusca.exe,480,TypeRef,System.Timers.Timer,set_Interval,
Auto_ThanLong_obfusca.exe,481,TypeRef,System.Timers.Timer,add_Elapsed,
Auto_ThanLong_obfusca.exe,482,TypeRef,System.Timers.Timer,Start,
Auto_ThanLong_obfusca.exe,490,TypeRef,System.Windows.Threading.DispatcherTimer,set_Interval,
Auto_ThanLong_obfusca.exe,491,TypeRef,System.Windows.Threading.DispatcherTimer,add_Tick,
Auto_ThanLong_obfusca.exe,492,TypeRef,System.Windows.Threading.DispatcherTimer,Start,
Auto_ThanLong_obfusca.exe,493,TypeRef,System.Windows.Threading.DispatcherTimer,set_IsEnabled,
Auto_ThanLong_obfusca.exe,494,TypeRef,System.Threading.Tasks.Task,Run,
Auto_ThanLong_obfusca.exe,500,TypeRef,System.Threading.Thread,Sleep,
Auto_ThanLong_obfusca.exe,546,TypeRef,System.Threading.Thread,Abort,
Auto_ThanLong_obfusca.exe,547,TypeRef,System.Threading.Thread,.ctor,
Auto_ThanLong_obfusca.exe,548,TypeRef,System.Threading.Thread,Start,
Auto_ThanLong_obfusca.exe,559,TypeRef,System.Threading.Thread,Resume,
Auto_ThanLong_obfusca.exe,560,TypeRef,System.Threading.Thread,Suspend,
Auto_ThanLong_obfusca.exe,576,TypeRef,System.Timers.Timer,Stop,
Auto_ThanLong_obfusca.exe,579,TypeRef,System.Windows.Threading.Dispatcher,InvokeAsync,
Auto_ThanLong_obfusca.exe,580,TypeRef,System.Windows.Threading.DispatcherOperation,GetAwaiter,
