declaring_type,property,getter_rid,getter_rva,setter_rid,setter_rva,feature_tags
KhungCode_Auto.AccountInfo,UserName,278,0x256F74,279,0x256FD0,
KhungCode_Auto.AccountInfo,Cum_Server,280,0x257034,281,0x257090,account_login
KhungCode_Auto.AccountInfo,STT_Server,282,0x2570F4,283,0x257150,account_login
KhungCode_Auto.AccountInfo,toadoX,284,0x257178,285,0x2571C0,travel_navigation
KhungCode_Auto.AccountInfo,toadoY,286,0x257214,287,0x25725C,travel_navigation
KhungCode_Auto.AccountInfo,FileLoginPath,288,0x257284,289,0x25729C,
KhungCode_Auto.AccountInfo,DataTho,290,0x2572F0,291,0x257338,
KhungCode_Auto.AccountInfo,Password,292,0x25739C,293,0x2573B4,
KhungCode_Auto.AccountInfo,Status,294,0x25742C,295,0x257474,
KhungCode_Auto.AccountInfo,STT,296,0x2574D8,297,0x257534,
KhungCode_Auto.AccountInfo,Color,298,0x257590,299,0x2575A8,
KhungCode_Auto.AccountInfo,EStatus,300,0x25760C,301,0x257668,
KhungCode_Auto.AccountInfo,IsSelected,302,0x257800,303,0x25785C,
KhungCode_Auto.CorinateStatus,status,317,0x257BC4,318,0x257BD8,
KhungCode_Auto.CorinateStatus,request,319,0x257BEC,320,0x257C00,
KhungCode_Auto.DeviceInfo,ImageScreen,323,0x257C4C,324,0x257CA8,vision_perception
KhungCode_Auto.DeviceInfo,phanloaithucan,325,0x257CFC,326,0x257D58,pet_mount
KhungCode_Auto.DeviceInfo,catdovaokho,327,0x257DAC,328,0x257DF4,storage
KhungCode_Auto.DeviceInfo,x2,329,0x257E50,330,0x257EAC,
KhungCode_Auto.DeviceInfo,sttTEAM,331,0x257F00,332,0x257F5C,
KhungCode_Auto.DeviceInfo,dichuyen,333,0x257F84,334,0x257FE0,travel_navigation
KhungCode_Auto.DeviceInfo,fullpt,335,0x258044,336,0x25808C,
KhungCode_Auto.DeviceInfo,coitemphu,337,0x2580E0,338,0x258128,
KhungCode_Auto.DeviceInfo,coitemngua,339,0x25817C,340,0x258194,
