assembly,rid,parent_kind,parent_type,member_name,feature_tags
Auto_ThanLong_obfusca.exe,1,TypeRef,System.Runtime.CompilerServices.SuppressIldasmAttribute,.ctor,
Auto_ThanLong_obfusca.exe,2,TypeRef,System.Windows.Documents.Adorner,GetDesiredTransform,
Auto_ThanLong_obfusca.exe,3,TypeRef,System.Windows.Documents.Adorner,MeasureOverride,
Auto_ThanLong_obfusca.exe,4,TypeRef,System.Windows.FrameworkElement,ArrangeOverride,
Auto_ThanLong_obfusca.exe,5,TypeRef,System.Windows.FrameworkElement,GetVisualChild,
Auto_ThanLong_obfusca.exe,6,TypeRef,System.Windows.FrameworkElement,get_VisualChildrenCount,
Auto_ThanLong_obfusca.exe,7,TypeRef,System.Runtime.CompilerServices.IAsyncStateMachine,MoveNext,
Auto_ThanLong_obfusca.exe,8,TypeRef,System.Runtime.CompilerServices.IAsyncStateMachine,SetStateMachine,
Auto_ThanLong_obfusca.exe,9,TypeRef,System.ComponentModel.INotifyPropertyChanged,add_PropertyChanged,
Auto_ThanLong_obfusca.exe,10,TypeRef,System.ComponentModel.INotifyPropertyChanged,remove_PropertyChanged,
Auto_ThanLong_obfusca.exe,11,TypeRef,System.Windows.Markup.IComponentConnector,InitializeComponent,
Auto_ThanLong_obfusca.exe,12,TypeRef,System.Windows.Markup.IComponentConnector,Connect,
Auto_ThanLong_obfusca.exe,13,TypeRef,System.Windows.Markup.IStyleConnector,Connect,
Auto_ThanLong_obfusca.exe,14,TypeRef,System.Runtime.CompilerServices.CompilationRelaxationsAttribute,.ctor,
Auto_ThanLong_obfusca.exe,15,TypeRef,System.Runtime.CompilerServices.RuntimeCompatibilityAttribute,.ctor,
Auto_ThanLong_obfusca.exe,16,TypeRef,System.Diagnostics.DebuggableAttribute,.ctor,
Auto_ThanLong_obfusca.exe,17,TypeRef,System.Reflection.AssemblyTitleAttribute,.ctor,
Auto_ThanLong_obfusca.exe,18,TypeRef,System.Reflection.AssemblyDescriptionAttribute,.ctor,
Auto_ThanLong_obfusca.exe,19,TypeRef,System.Reflection.AssemblyConfigurationAttribute,.ctor,
Auto_ThanLong_obfusca.exe,20,TypeRef,System.Reflection.AssemblyCompanyAttribute,.ctor,
Auto_ThanLong_obfusca.exe,21,TypeRef,System.Reflection.AssemblyProductAttribute,.ctor,
Auto_ThanLong_obfusca.exe,22,TypeRef,System.Reflection.AssemblyCopyrightAttribute,.ctor,
Auto_ThanLong_obfusca.exe,23,TypeRef,System.Reflection.AssemblyTrademarkAttribute,.ctor,
Auto_ThanLong_obfusca.exe,24,TypeRef,System.Runtime.InteropServices.ComVisibleAttribute,.ctor,
Auto_ThanLong_obfusca.exe,25,TypeRef,System.Windows.ThemeInfoAttribute,.ctor,
Auto_ThanLong_obfusca.exe,26,TypeRef,System.Reflection.AssemblyFileVersionAttribute,.ctor,
Auto_ThanLong_obfusca.exe,27,TypeRef,System.Windows.Resources.AssemblyAssociatedContentFileAttribute,.ctor,
Auto_ThanLong_obfusca.exe,28,TypeRef,System.Runtime.Versioning.TargetFrameworkAttribute,.ctor,
Auto_ThanLong_obfusca.exe,29,TypeRef,System.Runtime.CompilerServices.CompilerGeneratedAttribute,.ctor,
Auto_ThanLong_obfusca.exe,30,TypeRef,System.AttributeUsageAttribute,.ctor,
Auto_ThanLong_obfusca.exe,31,TypeRef,System.Diagnostics.DebuggerBrowsableAttribute,.ctor,
Auto_ThanLong_obfusca.exe,32,TypeRef,System.CodeDom.Compiler.GeneratedCodeAttribute,.ctor,
Auto_ThanLong_obfusca.exe,33,TypeRef,System.Diagnostics.DebuggerNonUserCodeAttribute,.ctor,
Auto_ThanLong_obfusca.exe,34,TypeRef,System.ComponentModel.EditorBrowsableAttribute,.ctor,
Auto_ThanLong_obfusca.exe,35,TypeRef,System.Runtime.CompilerServices.AsyncStateMachineAttribute,.ctor,
Auto_ThanLong_obfusca.exe,36,TypeRef,System.Diagnostics.DebuggerStepThroughAttribute,.ctor,
Auto_ThanLong_obfusca.exe,37,TypeRef,System.Diagnostics.DebuggerHiddenAttribute,.ctor,
Auto_ThanLong_obfusca.exe,38,TypeRef,System.Runtime.CompilerServices.CallerMemberNameAttribute,.ctor,
Auto_ThanLong_obfusca.exe,39,TypeRef,System.STAThreadAttribute,.ctor,
Auto_ThanLong_obfusca.exe,40,TypeRef,System.ComponentModel.DesignerCategoryAttribute,.ctor,
Auto_ThanLong_obfusca.exe,41,TypeRef,System.Xml.Serialization.XmlTypeAttribute,.ctor,
Auto_ThanLong_obfusca.exe,42,TypeRef,System.Xml.Serialization.XmlRootAttribute,.ctor,
Auto_ThanLong_obfusca.exe,43,TypeRef,System.Type,GetTypeFromHandle,
Auto_ThanLong_obfusca.exe,44,TypeRef,System.Type,GetMethod,
Auto_ThanLong_obfusca.exe,45,TypeRef,System.Threading.ParameterizedThreadStart,.ctor,
Auto_ThanLong_obfusca.exe,46,TypeRef,System.Threading.Thread,.ctor,
Auto_ThanLong_obfusca.exe,47,TypeRef,System.Threading.Thread,set_IsBackground,
Auto_ThanLong_obfusca.exe,48,TypeRef,System.Threading.Thread,Start,
Auto_ThanLong_obfusca.exe,49,TypeRef,System.Environment,FailFast,
Auto_ThanLong_obfusca.exe,50,TypeRef,System.Reflection.MethodBase,Invoke,
Auto_ThanLong_obfusca.exe,51,TypeRef,System.Object,Equals,
Auto_ThanLong_obfusca.exe,52,TypeRef,System.Threading.Thread,Sleep,
Auto_ThanLong_obfusca.exe,53,TypeRef,System.Threading.Thread,get_CurrentThread,
Auto_ThanLong_obfusca.exe,54,TypeRef,System.Threading.Thread,get_IsAlive,
Auto_ThanLong_obfusca.exe,55,TypeRef,System.Diagnostics.Debugger,get_IsAttached,
Auto_ThanLong_obfusca.exe,56,TypeRef,System.Diagnostics.Debugger,IsLogging,
Auto_ThanLong_obfusca.exe,57,TypeRef,System.IO.MemoryStream,.ctor,
Auto_ThanLong_obfusca.exe,58,TypeRef,System.IO.Stream,Read,
Auto_ThanLong_obfusca.exe,59,TypeRef,System.Array,Reverse,
Auto_ThanLong_obfusca.exe,60,TypeRef,System.BitConverter,IsLittleEndian,
Auto_ThanLong_obfusca.exe,61,TypeRef,System.BitConverter,ToInt32,
Auto_ThanLong_obfusca.exe,62,TypeRef,System.IO.MemoryStream,.ctor,
Auto_ThanLong_obfusca.exe,63,TypeRef,System.IO.Stream,get_Length,
Auto_ThanLong_obfusca.exe,64,TypeRef,System.Runtime.CompilerServices.RuntimeHelpers,InitializeArray,
Auto_ThanLong_obfusca.exe,65,TypeRef,System.Reflection.Assembly,GetExecutingAssembly,
Auto_ThanLong_obfusca.exe,66,TypeRef,System.Reflection.Assembly,GetCallingAssembly,
Auto_ThanLong_obfusca.exe,67,TypeRef,System.Type,GetElementType,
Auto_ThanLong_obfusca.exe,68,TypeRef,System.Array,CreateInstance,
Auto_ThanLong_obfusca.exe,69,TypeRef,System.Buffer,BlockCopy,
Auto_ThanLong_obfusca.exe,70,TypeRef,System.Text.Encoding,get_UTF8,
Auto_ThanLong_obfusca.exe,71,TypeRef,System.Text.Encoding,GetString,
Auto_ThanLong_obfusca.exe,72,TypeRef,System.String,Intern,
Auto_ThanLong_obfusca.exe,73,TypeRef,System.Reflection.Assembly,Load,
Auto_ThanLong_obfusca.exe,74,TypeRef,System.AppDomain,get_CurrentDomain,
Auto_ThanLong_obfusca.exe,75,TypeRef,System.ResolveEventHandler,.ctor,
Auto_ThanLong_obfusca.exe,76,TypeRef,System.AppDomain,add_AssemblyResolve,
Auto_ThanLong_obfusca.exe,77,TypeRef,System.Reflection.Assembly,get_FullName,
Auto_ThanLong_obfusca.exe,78,TypeRef,System.ResolveEventArgs,get_Name,
Auto_ThanLong_obfusca.exe,79,TypeRef,System.String,op_Equality,
Auto_ThanLong_obfusca.exe,80,TypeRef,System.Type,get_Module,
Auto_ThanLong_obfusca.exe,81,TypeRef,System.Reflection.Module,get_FullyQualifiedName,
Auto_ThanLong_obfusca.exe,82,TypeRef,System.String,get_Length,
Auto_ThanLong_obfusca.exe,83,TypeRef,System.String,get_Chars,
Auto_ThanLong_obfusca.exe,84,TypeRef,System.Runtime.InteropServices.Marshal,GetHINSTANCE,
Auto_ThanLong_obfusca.exe,85,TypeRef,System.IntPtr,op_Explicit,
Auto_ThanLong_obfusca.exe,86,TypeRef,System.IntPtr,op_Explicit,
Auto_ThanLong_obfusca.exe,87,TypeRef,System.IO.Stream,ReadByte,
Auto_ThanLong_obfusca.exe,88,TypeRef,System.Object,.ctor,
Auto_ThanLong_obfusca.exe,89,TypeRef,System.Math,Max,
Auto_ThanLong_obfusca.exe,90,TypeRef,System.IO.Stream,Write,
Auto_ThanLong_obfusca.exe,91,TypeRef,System.Attribute,.ctor,
Auto_ThanLong_obfusca.exe,92,TypeSpec,,canInitiateDrag,
Auto_ThanLong_obfusca.exe,93,TypeSpec,,dragAdornerOpacity,
Auto_ThanLong_obfusca.exe,94,TypeSpec,,indexToSelect,
Auto_ThanLong_obfusca.exe,95,TypeSpec,,showDragAdorner,
Auto_ThanLong_obfusca.exe,96,TypeSpec,,.ctor,
Auto_ThanLong_obfusca.exe,97,TypeSpec,,set_ListView,
Auto_ThanLong_obfusca.exe,98,TypeSpec,,.ctor,
Auto_ThanLong_obfusca.exe,99,TypeSpec,,set_DragAdornerOpacity,
Auto_ThanLong_obfusca.exe,100,TypeSpec,,set_ShowDragAdorner,
Auto_ThanLong_obfusca.exe,101,TypeSpec,,get_IsDragInProgress,
Auto_ThanLong_obfusca.exe,102,TypeSpec,,‎⁯‏‍⁭⁫‭‮‌​​‭⁬⁪⁪⁭⁫⁮‬‪‍​‮‮‏‮⁫⁪⁫‭‫⁬‫​‪‏⁭‌‬‍‮,
Auto_ThanLong_obfusca.exe,103,TypeSpec,,‫‮⁯‬‬‏⁭‍‫‪‪⁮‬‬⁪‪⁮⁮‮⁬‫​‬‎‭​⁫‫⁮⁪⁫‪⁫‌‮‎‌‎⁫‫‮,
Auto_ThanLong_obfusca.exe,104,TypeSpec,,isDragInProgress,
Auto_ThanLong_obfusca.exe,105,TypeSpec,,listView,
Auto_ThanLong_obfusca.exe,106,TypeSpec,,⁯‫⁭‏‏⁬‌⁮⁭⁪‭‬‌‍⁬⁮‮‫⁮‏‍‪‬‬‭‬‬‫⁪‮⁮‬​⁬‭‫‮‎‍‏‮,
Auto_ThanLong_obfusca.exe,107,TypeSpec,,listView_PreviewMouseMove,
Auto_ThanLong_obfusca.exe,108,TypeRef,System.Windows.Input.MouseEventHandler,.ctor,
Auto_ThanLong_obfusca.exe,109,TypeSpec,,‏⁪⁫‫⁫‬‌‬‪​⁬​‮‎‌⁫​⁭‪⁭⁯‬‌⁮‏‌‪‌‭‬‎‏⁭‍⁮‏‬‬​⁯‮,
Auto_ThanLong_obfusca.exe,110,TypeSpec,,listView_Drop,
Auto_ThanLong_obfusca.exe,111,TypeRef,System.Windows.DragEventHandler,.ctor,
Auto_ThanLong_obfusca.exe,112,TypeSpec,,‭‏‌‍⁭⁭⁫⁯‭‍⁭‪⁬‏⁪‍‮‬⁭⁯‍‮‮‭⁫‬‏⁭‍‎⁫⁭⁪‍‎⁮‪⁫‍‬‮,
Auto_ThanLong_obfusca.exe,113,TypeSpec,,listView_DragLeave,
Auto_ThanLong_obfusca.exe,114,TypeSpec,,‬⁫​​‎⁭‌⁯‪‎‫‏‎⁫⁭⁫‎‪‬⁬‮⁫⁮‎‏‌‏‌⁪‏‮⁪⁮⁯‌⁭‎⁭‬⁫‮,
Auto_ThanLong_obfusca.exe,115,TypeSpec,,listView_PreviewMouseLeftButtonDown,
Auto_ThanLong_obfusca.exe,116,TypeRef,System.Windows.Input.MouseButtonEventHandler,.ctor,
Auto_ThanLong_obfusca.exe,117,TypeSpec,,⁫‫‎⁭⁫⁬‫‬‮‏⁬‌⁬‎‫⁫‏‍⁫⁬​‮‎‌‎⁭‫⁬⁬​‍‏⁯⁮⁪‌⁮​⁪⁯‮,
Auto_ThanLong_obfusca.exe,118,TypeSpec,,‍‫⁭⁬⁮‫‎⁪⁪​‪‍‬‬⁮‭⁪​⁫‌‍⁫⁫⁯⁬‍⁬‭‎​​‮‭‮⁭⁭⁯​‌‬‮,
Auto_ThanLong_obfusca.exe,119,TypeSpec,,⁮‭⁮‬⁮⁮‌‪⁬‬‎‌⁫‮‏‌​⁮‪⁪‪‪​⁮⁯‬‎‮⁯‎‏⁭⁮⁯‮⁯‌‍‭‫‮,
Auto_ThanLong_obfusca.exe,120,TypeSpec,,listView_DragEnter,
Auto_ThanLong_obfusca.exe,121,TypeSpec,,⁬⁬‭⁭‍‎‍‪⁯‮‪‍⁬⁫‪‫‮‮⁫‏‫⁭⁭⁬‍⁬​‫‪​‪⁫‏‪‌‫⁫‌⁯‮,
Auto_ThanLong_obfusca.exe,122,TypeSpec,,listView_DragOver,
Auto_ThanLong_obfusca.exe,123,TypeSpec,,‬⁯‌⁯‬‎⁮​‍‬⁬‏‏⁬‮‪​‭⁬‭‪​‍‭⁬‮‍‬⁫‍⁮‪‫‪‪‏​⁪‬⁪‮,
Auto_ThanLong_obfusca.exe,124,TypeSpec,,⁯‌⁬‮‮⁯​‮⁬​‫‎‮‬⁪‍​‪⁬⁭‬⁭‮‮⁭⁭‎‌⁬⁫⁬​‏⁬⁮⁫‬‮‮‌‮,
Auto_ThanLong_obfusca.exe,125,TypeSpec,,‮‍‭‪‌​‫‏​‎‏‪⁮⁮⁪‫⁮‭⁬‮⁮⁪‍‏‍‭​‫⁪⁯‏‮‮‍‮⁪⁬‪‍⁭‮,
Auto_ThanLong_obfusca.exe,126,TypeSpec,,‫‬⁪⁪⁮⁯​‏‫‌‍⁮⁪⁯⁯⁮‫⁫​‌‬⁭⁪⁯⁯‍⁭‫​‪⁪‫⁪⁬⁫⁬​‭⁯‭‮,
Auto_ThanLong_obfusca.exe,127,TypeSpec,,‮‪‪⁮​⁪‍‭‬‍⁯‎​‭​⁮‮⁯‫‪‍‮‮⁯⁫⁭‮⁭‫‫‭⁫⁪‌​‬‭‫‭⁭‮,
Auto_ThanLong_obfusca.exe,128,TypeSpec,,‫‫‭⁯⁫⁪⁬⁬⁮‬‍‬‭‭‭‪‮⁯⁪‎⁮‫​‭⁯⁭⁪⁮‭⁭‪‎‮‫‎⁭⁬‎‮,
Auto_ThanLong_obfusca.exe,129,TypeSpec,,ProcessDrop,
Auto_ThanLong_obfusca.exe,130,TypeRef,System.Threading.Interlocked,CompareExchange,
Auto_ThanLong_obfusca.exe,131,TypeSpec,,⁮‫‫‍‮‌‭⁫⁬‎​⁭⁪‬⁭‍‌‫​⁫‮⁪‫‬‬‬⁮‏‏‍‮‎‪‮‏‍‎‎‍‮,
Auto_ThanLong_obfusca.exe,132,TypeSpec,,​‌‌‎‏‎⁭⁬‏‭‮‏⁯‬⁮⁬‪⁭‭⁫⁭⁬⁪‮⁪‪⁪⁬⁬‬⁪‍‎⁬‬‫‮⁮⁪‍‮,
Auto_ThanLong_obfusca.exe,133,TypeSpec,,get_IndexUnderDragCursor,
Auto_ThanLong_obfusca.exe,134,TypeSpec,,get_IsMouseOverScrollbar,
Auto_ThanLong_obfusca.exe,135,TypeSpec,,ptMouseDown,
Auto_ThanLong_obfusca.exe,136,TypeRef,System.Windows.Point,.ctor,
Auto_ThanLong_obfusca.exe,137,TypeSpec,,get_CanStartDragOperation,
Auto_ThanLong_obfusca.exe,138,TypeSpec,,‍‮‪⁮⁬⁬‮‮‏‍⁮‍⁪‭‬‏‭‬⁫​‮⁪⁫‎‌‭‍‭‍‏‍​‮‏‌⁬‍⁬‍‬‮,
Auto_ThanLong_obfusca.exe,139,TypeSpec,,PerformDragOperation,
Auto_ThanLong_obfusca.exe,140,TypeSpec,,InitializeDragOperation,
Auto_ThanLong_obfusca.exe,141,TypeSpec,,get_ShowDragAdornerResolved,
Auto_ThanLong_obfusca.exe,142,TypeSpec,,‌‬‭⁮⁯‎⁭⁪‎‪⁭‍‬‍‭‭‪‫⁪‭‪⁪⁮‭⁮⁯⁯‌‪‏‮⁪‪‮‪​​⁭⁬‍‮,
Auto_ThanLong_obfusca.exe,143,TypeSpec,,GetListViewItem,
Auto_ThanLong_obfusca.exe,144,TypeSpec,,FinishDragOperation,
Auto_ThanLong_obfusca.exe,145,TypeSpec,,InitializeAdornerLayer,
Auto_ThanLong_obfusca.exe,146,TypeSpec,,‪‭⁪‭⁬‮⁮⁯‍‏⁫⁪⁪‫‌​‎⁬‍‪‍‎‍​⁫‮‍⁫‪‪‎‬⁭‍⁪⁪‫‏‏⁬‮,
Auto_ThanLong_obfusca.exe,147,TypeSpec,,⁮‪⁯‮⁮‫⁬​⁭​‮⁮‬⁪‪‌⁪‮‬⁯⁯⁭⁮‮⁭‎⁪‫‌​‮​⁭‎​‏‬‫‎⁪‮,
Auto_ThanLong_obfusca.exe,148,TypeSpec,,get_ListView,
Auto_ThanLong_obfusca.exe,149,TypeSpec,,⁭‫⁭‮‏⁮⁫⁪⁪⁯‬‎‌‮⁯⁭‪‎​⁬‪⁬⁭‬​‫⁭⁭‎⁬‍‍​‏⁬⁯‏⁭‭⁭‮,
Auto_ThanLong_obfusca.exe,150,TypeSpec,,‫⁮​‎‭‍‮‮⁮‫‎⁮⁫⁯‌‏​‏⁭⁯⁮‌​‭⁫‌​‫‬⁯⁪⁭‍‌⁮​‏⁯‍‮,
Auto_ThanLong_obfusca.exe,151,TypeSpec,,set_ItemUnderDragCursor,
Auto_ThanLong_obfusca.exe,152,TypeSpec,,UpdateDragAdornerLocation,
Auto_ThanLong_obfusca.exe,153,TypeSpec,,IsMouseOver,
Auto_ThanLong_obfusca.exe,154,TypeSpec,,dragAdorner,
Auto_ThanLong_obfusca.exe,155,TypeSpec,,⁬⁫⁯⁫‪⁪‫​⁬⁫‫⁯​⁪‌⁫‬‫⁮‪⁭⁭⁮‮‌⁯‬‏‍⁮⁪‏​​‍‍⁭‭⁯⁫‮,
Auto_ThanLong_obfusca.exe,156,TypeSpec,,get_ItemUnderDragCursor,
Auto_ThanLong_obfusca.exe,157,TypeSpec,,⁭‪⁫⁮‪‪⁭‫‪‏​⁪‍‪‌‭‎‏⁮‭⁮‌‌⁫‭​‮‭⁯‎⁬‬​⁬⁫⁮‭⁯‬⁭‮,
Auto_ThanLong_obfusca.exe,158,TypeSpec,,‭⁯⁮⁮⁬⁫⁭⁪‪‬⁮⁮‭‎‎⁪⁭‌⁭‮‍‍⁬‌⁭⁫⁫⁯⁮⁫‌‏⁬‪‎⁯⁫​‍‭‮,
Auto_ThanLong_obfusca.exe,159,TypeSpec,,‎‮‬‬⁭‌​‎⁫‌‏⁭‏‬⁫⁭‫​⁪⁮‪‏⁪‌⁫⁬⁯‫​⁪‌⁫​‏‎‏⁮⁫‌‏‮,
Auto_ThanLong_obfusca.exe,160,TypeSpec,,⁭⁫‫⁭‪⁪‎‫‏‮‏‭‍‬⁭​‮‏​⁭⁪‪‮⁭‫​⁯⁯​⁪‌‌‭⁮⁬⁪‪⁫⁬‌‮,
Auto_ThanLong_obfusca.exe,161,TypeSpec,,‮⁪⁮‮⁬⁮‎‭‎‪⁫‍‮‮​⁬‮⁮‫‍‬‍‭‏‫⁭‫⁯‫‬‏​‌⁮‌‮​‪⁬‫‮,
Auto_ThanLong_obfusca.exe,162,TypeSpec,,get_Count,
Auto_ThanLong_obfusca.exe,163,TypeSpec,,get_Effects,
Auto_ThanLong_obfusca.exe,164,TypeSpec,,IndexOf,
Auto_ThanLong_obfusca.exe,165,TypeSpec,,‮‭⁬‮⁫‫‪⁭‌⁮⁪‪​‏​⁫‫⁮‫​‎‫‪⁭⁫‌‍​‬⁮⁭‍​​⁫‏⁯‍⁭‬‮,
Auto_ThanLong_obfusca.exe,166,TypeSpec,,Move,
Auto_ThanLong_obfusca.exe,167,TypeSpec,,⁮‭‌‏⁬‍⁭‮⁯⁮‌‮‭⁮‮‬‏​⁪‮⁮⁬​⁫‍⁭⁮‫⁬‏‏​⁫‪‭⁪⁯‮‌⁯‮,
Auto_ThanLong_obfusca.exe,168,TypeSpec,,.ctor,
Auto_ThanLong_obfusca.exe,169,TypeSpec,,Invoke,
Auto_ThanLong_obfusca.exe,170,TypeSpec,,⁭‪‌⁯⁪‮‬​​⁭‍​⁬⁬‏‪⁬⁫‪⁫‮‌‌⁪⁬‍‮⁪‪⁬⁭‍⁬‌‮​​‬‮‍‮,
Auto_ThanLong_obfusca.exe,171,TypeSpec,,Insert,
