assembly,rid,declaring_type,name,rva,flags,impl_flags,body_status,feature_tags
Auto_ThanLong_obfusca.exe,601,KhungCode_Auto.MainWindow,set_dungvang,0x25D294,0x0886,0x0008,protected_or_nonstandard,trade_transfer
Auto_ThanLong_obfusca.exe,602,KhungCode_Auto.MainWindow,get_DUNGCODE,0x25D2BC,0x0886,0x0000,valid_il_header,captcha
Auto_ThanLong_obfusca.exe,603,KhungCode_Auto.MainWindow,set_DUNGCODE,0x25D318,0x0886,0x0008,protected_or_nonstandard,captcha
Auto_ThanLong_obfusca.exe,604,KhungCode_Auto.MainWindow,get_sttbaithuylao,0x25D37C,0x0886,0x0000,protected_or_nonstandard,activity_thuylao
Auto_ThanLong_obfusca.exe,605,KhungCode_Auto.MainWindow,set_sttbaithuylao,0x25D3C4,0x0886,0x0008,protected_or_nonstandard,activity_thuylao
Auto_ThanLong_obfusca.exe,606,KhungCode_Auto.MainWindow,get_TotalBTD,0x25D418,0x0886,0x0000,valid_il_header,
Auto_ThanLong_obfusca.exe,607,KhungCode_Auto.MainWindow,set_TotalBTD,0x25D460,0x0886,0x0008,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,608,KhungCode_Auto.MainWindow,get_SoLuongNhanVat,0x25D4D8,0x0886,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,609,KhungCode_Auto.MainWindow,set_SoLuongNhanVat,0x25D520,0x0886,0x0008,valid_il_header,
Auto_ThanLong_obfusca.exe,610,KhungCode_Auto.MainWindow,get_MaxTBD,0x25D584,0x0886,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,611,KhungCode_Auto.MainWindow,set_MaxTBD,0x25D5CC,0x0886,0x0008,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,612,KhungCode_Auto.MainWindow,get_IsDoanChat,0x25D630,0x0886,0x0000,valid_il_header,
Auto_ThanLong_obfusca.exe,613,KhungCode_Auto.MainWindow,set_IsDoanChat,0x25D68C,0x0886,0x0008,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,614,KhungCode_Auto.MainWindow,get_HenGio,0x25D6F0,0x0886,0x0000,protected_or_nonstandard,scheduler
Auto_ThanLong_obfusca.exe,615,KhungCode_Auto.MainWindow,set_HenGio,0x25D74C,0x0886,0x0008,valid_il_header,scheduler
Auto_ThanLong_obfusca.exe,616,KhungCode_Auto.MainWindow,get_IsSelectAllDevice,0x25D7B0,0x0886,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,617,KhungCode_Auto.MainWindow,set_IsSelectAllDevice,0x25D7F8,0x0886,0x0008,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,618,KhungCode_Auto.MainWindow,.ctor,0x25D914,0x1886,0x0008,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,619,KhungCode_Auto.MainWindow,CheckUpdate,0x260010,0x0081,0x0008,protected_or_nonstandard,auth_update
Auto_ThanLong_obfusca.exe,620,KhungCode_Auto.MainWindow,AutoUpdaterOnCheckForUpdateEvent,0x260130,0x0081,0x0000,protected_or_nonstandard,auth_update
Auto_ThanLong_obfusca.exe,621,KhungCode_Auto.MainWindow,CheckMutant,0x2601C8,0x0081,0x0000,valid_il_header,auth_update
Auto_ThanLong_obfusca.exe,622,KhungCode_Auto.MainWindow,CheckLicense,0x2602BC,0x0081,0x0008,protected_or_nonstandard,auth_update
Auto_ThanLong_obfusca.exe,623,KhungCode_Auto.MainWindow,GetInterNetDate,0x260408,0x0081,0x0008,protected_or_nonstandard,auth_update
Auto_ThanLong_obfusca.exe,624,KhungCode_Auto.MainWindow,FirstLoad,0x2604CC,0x0081,0x0000,protected_or_nonstandard,
Auto_ThanLong_obfusca.exe,625,KhungCode_Auto.MainWindow,TimerCheckHenGio_Tick,0x2606EC,0x0081,0x0000,protected_or_nonstandard,scheduler
Auto_ThanLong_obfusca.exe,626,KhungCode_Auto.MainWindow,TimerCheckAuthorize_Tick,0x26089C,0x0081,0x0000,valid_il_header,
Auto_ThanLong_obfusca.exe,627,KhungCode_Auto.MainWindow,LoadDevices,0x2608CC,0x0081,0x0000,protected_or_nonstandard,core_orchestration
Auto_ThanLong_obfusca.exe,628,KhungCode_Auto.MainWindow,TimerCheckDevices_Tick,0x2608E8,0x0081,0x0000,protected_or_nonstandard,core_orchestration
