assembly,declaring_type,property,getter_rid,getter_rva,setter_rid,setter_rva,feature_tags
Auto_ThanLong_obfusca.exe,Auto_ThanLong_Kteam_0789998118.KhungCode_Auto.Cons,AccessToken,215,0x254814,216,0x254828,
Auto_ThanLong_obfusca.exe,Auto_ThanLong_Kteam_0789998118.KhungCode_Auto.Cons,LoginStamp,217,0x25483C,218,0x254850,
Auto_ThanLong_obfusca.exe,Auto_ThanLong_Kteam_0789998118.KhungCode_Auto.Cons,UpdateURL,219,0x254864,220,0x254878,auth_update
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,UserName,278,0x256F74,279,0x256FD0,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,Cum_Server,280,0x257034,281,0x257090,account_login
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,STT_Server,282,0x2570F4,283,0x257150,account_login
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,toadoX,284,0x257178,285,0x2571C0,travel_navigation
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,toadoY,286,0x257214,287,0x25725C,travel_navigation
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,FileLoginPath,288,0x257284,289,0x25729C,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,DataTho,290,0x2572F0,291,0x257338,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,Password,292,0x25739C,293,0x2573B4,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,Status,294,0x25742C,295,0x257474,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,STT,296,0x2574D8,297,0x257534,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,Color,298,0x257590,299,0x2575A8,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,EStatus,300,0x25760C,301,0x257668,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,IsSelected,302,0x257800,303,0x25785C,
Auto_ThanLong_obfusca.exe,KhungCode_Auto.CorinateStatus,status,317,0x257BC4,318,0x257BD8,
