identifier,kind,feature_tags
MoveNext,symbol_or_local,
get_UserName,accessor,
set_UserName,accessor,
get_Cum_Server,accessor,account_login
set_Cum_Server,accessor,account_login
get_STT_Server,accessor,account_login
set_STT_Server,accessor,account_login
get_toadoX,accessor,travel_navigation
set_toadoX,accessor,travel_navigation
get_toadoY,accessor,travel_navigation
set_toadoY,accessor,travel_navigation
get_FileLoginPath,accessor,
set_FileLoginPath,accessor,
get_DataTho,accessor,
set_DataTho,accessor,
get_Password,accessor,
set_Password,accessor,
get_Status,accessor,
set_Status,accessor,
get_STT,accessor,
set_STT,accessor,
get_Color,accessor,
set_Color,accessor,
get_EStatus,accessor,
set_EStatus,accessor,
get_IsSelected,accessor,
set_IsSelected,accessor,
OnPropertyChanged,symbol_or_local,
handler,symbol_or_local,
get_pid,accessor,
set_pid,accessor,
get_vmpid,accessor,
set_vmpid,accessor,
get_Ports,accessor,
set_Ports,accessor,
GetNoxMultiIni,symbol_or_local,
multi,symbol_or_local,
path,symbol_or_local,
data,symbol_or_local,
GetNoxTitleFromADBPort,symbol_or_local,
CS$<>8__locals0,identifier,
CS$<>8__locals1,identifier,
multiNox,symbol_or_local,
USystem,symbol_or_local,
USystem.Collections.ObjectModel,namespace_import,
USystem.ComponentModel,namespace_import,
USystem.Diagnostics,namespace_import,
USystem.Windows,namespace_import,
USystem.Windows.Controls,namespace_import,
USystem.Windows.Controls.Primitives,namespace_import,
USystem.Windows.Documents,namespace_import,
USystem.Windows.Media,namespace_import,
USystem.Windows.Input,namespace_import,
UWPF.JoshSmith.Adorners,namespace_import,
UWPF.JoshSmith.Controls.Utilities,namespace_import,
get_DragAdornerOpacity,accessor,
set_DragAdornerOpacity,accessor,
get_IsDragInProgress,accessor,
set_IsDragInProgress,accessor,
get_ListView,accessor,
set_ListView,accessor,
get_ShowDragAdorner,accessor,
set_ShowDragAdorner,accessor,
listView_PreviewMouseLeftButtonDown,symbol_or_local,
index,symbol_or_local,
listView_PreviewMouseMove,symbol_or_local,
itemToDrag,symbol_or_local,
adornerLayer,symbol_or_local,
listView_DragOver,symbol_or_local,
listView_DragLeave,symbol_or_local,
listView_DragEnter,symbol_or_local,
listView_Drop,symbol_or_local,
itemsSource,symbol_or_local,
oldIndex,symbol_or_local,
newIndex,symbol_or_local,
args,symbol_or_local,
