declaring_type,name,rid,rva,body_status,feature_tags
KhungCode_Auto.MainWindow,CheckUpdate,619,0x260010,protected_or_nonstandard,auth_update
KhungCode_Auto.MainWindow,AutoUpdaterOnCheckForUpdateEvent,620,0x260130,protected_or_nonstandard,auth_update
KhungCode_Auto.MainWindow,CheckMutant,621,0x2601C8,valid_il_header,auth_update
KhungCode_Auto.MainWindow,CheckLicense,622,0x2602BC,protected_or_nonstandard,auth_update
KhungCode_Auto.MainWindow,LoadDevices,627,0x2608CC,protected_or_nonstandard,core_orchestration
KhungCode_Auto.MainWindow,TimerCheckDevices_Tick,628,0x2608E8,protected_or_nonstandard,core_orchestration
KhungCode_Auto.MainWindow,LoadListDevices,629,0x260D14,protected_or_nonstandard,core_orchestration
KhungCode_Auto.MainWindow,LoadQuest,633,0x261418,protected_or_nonstandard,core_orchestration|quest_level
KhungCode_Auto.MainWindow,nhaptkmk,635,0x261534,valid_il_header,account_login
KhungCode_Auto.MainWindow,vaothuylao,636,0x261D54,protected_or_nonstandard,activity_thuylao
KhungCode_Auto.MainWindow,hdthuylao,637,0x2636C4,protected_or_nonstandard,activity_thuylao
KhungCode_Auto.MainWindow,xuatpet,640,0x265BC0,protected_or_nonstandard,pet_mount
KhungCode_Auto.MainWindow,duyetPT,641,0x26619C,protected_or_nonstandard,party_follow
KhungCode_Auto.MainWindow,checkthanhvien,642,0x26689C,valid_il_header,party_follow
KhungCode_Auto.MainWindow,danh_actac,643,0x267070,protected_or_nonstandard,activity_actac
KhungCode_Auto.MainWindow,gettoado_actac,644,0x268D94,protected_or_nonstandard,activity_actac|travel_navigation
KhungCode_Auto.MainWindow,toivitri_actac,645,0x26979C,valid_il_header,activity_actac|travel_navigation
KhungCode_Auto.MainWindow,HD_ACTAC,646,0x26A4CC,protected_or_nonstandard,activity_actac
KhungCode_Auto.MainWindow,trainLEVEL1,648,0x26E6E4,protected_or_nonstandard,train_combat
KhungCode_Auto.MainWindow,THOAT_VAOLAI_PT,654,0x27210C,valid_il_header,party_follow
KhungCode_Auto.MainWindow,THOAT_PT,655,0x272780,protected_or_nonstandard,party_follow
KhungCode_Auto.MainWindow,TAO_PT_1NGUOI,656,0x272D2C,protected_or_nonstandard,party_follow
KhungCode_Auto.MainWindow,theodoi,657,0x273250,protected_or_nonstandard,party_follow
KhungCode_Auto.MainWindow,botheodoi,658,0x273628,valid_il_header,party_follow
KhungCode_Auto.MainWindow,batdanh,659,0x273A88,protected_or_nonstandard,train_combat
KhungCode_Auto.MainWindow,tatdanh,660,0x273EFC,valid_il_header,train_combat
KhungCode_Auto.MainWindow,lenbaitrain,661,0x274368,protected_or_nonstandard,train_combat
KhungCode_Auto.MainWindow,donrac,662,0x274A9C,valid_il_header,inventory_sell
KhungCode_Auto.MainWindow,vuthettrangbi,663,0x274C98,protected_or_nonstandard,inventory_sell
KhungCode_Auto.MainWindow,sellItemm,664,0x2758A4,protected_or_nonstandard,inventory_sell
KhungCode_Auto.MainWindow,catdovaokho,665,0x27687C,protected_or_nonstandard,storage
KhungCode_Auto.MainWindow,laydotrongkho,666,0x277DD8,valid_il_header,storage
KhungCode_Auto.MainWindow,checkmuaitem,667,0x278DB8,protected_or_nonstandard,consumable_shop
KhungCode_Auto.MainWindow,nhanitem,668,0x279B5C,valid_il_header,consumable_shop
KhungCode_Auto.MainWindow,checkfulltui,669,0x27A1E4,protected_or_nonstandard,inventory_sell
KhungCode_Auto.MainWindow,checktrilieutudong,672,0x27BF9C,protected_or_nonstandard,heal_buff
KhungCode_Auto.MainWindow,batbuff,673,0x27C6A4,protected_or_nonstandard,heal_buff
KhungCode_Auto.MainWindow,muamaumana,674,0x27CA4C,protected_or_nonstandard,consumable_shop
KhungCode_Auto.MainWindow,muadochopet,675,0x27D2F0,protected_or_nonstandard,consumable_shop|pet_mount
KhungCode_Auto.MainWindow,Truyenvetochau,678,0x27F680,valid_il_header,travel_navigation
KhungCode_Auto.MainWindow,truyenmap,679,0x280110,protected_or_nonstandard,travel_navigation
KhungCode_Auto.MainWindow,toinpcTBD,680,0x280DE4,protected_or_nonstandard,activity_tbd|travel_navigation
KhungCode_Auto.MainWindow,didau,681,0x281C7C,protected_or_nonstandard,travel_navigation
KhungCode_Auto.MainWindow,toinpcthuylao,682,0x2821B8,protected_or_nonstandard,activity_thuylao|travel_navigation
KhungCode_Auto.MainWindow,toinpcbanitem_daily,683,0x282CE0,protected_or_nonstandard,inventory_sell|travel_navigation
KhungCode_Auto.MainWindow,toinpc_duoc,684,0x283C88,protected_or_nonstandard,travel_navigation
KhungCode_Auto.MainWindow,toinpc_pet_daily,685,0x284558,valid_il_header,pet_mount|travel_navigation
KhungCode_Auto.MainWindow,trilieutochaux,686,0x284EC0,protected_or_nonstandard,heal_buff
KhungCode_Auto.MainWindow,trilieudaily,687,0x285540,protected_or_nonstandard,heal_buff
KhungCode_Auto.MainWindow,checkdichuyen,688,0x285BCC,protected_or_nonstandard,travel_navigation
KhungCode_Auto.MainWindow,phudaily,689,0x286648,protected_or_nonstandard,pet_mount
KhungCode_Auto.MainWindow,setupautothuylao,690,0x286F04,protected_or_nonstandard,activity_thuylao
KhungCode_Auto.MainWindow,setupautotrain,691,0x28740C,protected_or_nonstandard,train_combat
KhungCode_Auto.MainWindow,lienketmau_manalenauto,693,0x287CA8,protected_or_nonstandard,heal_buff
