feature,assembly,declaring_type,method,rid,rva,body_status
auth_update,Auto_ThanLong_obfusca.exe,Auto_ThanLong_Kteam_0789998118.KhungCode_Auto.Cons,get_UpdateURL,219,0x254864,valid_il_header
auth_update,Auto_ThanLong_obfusca.exe,Auto_ThanLong_Kteam_0789998118.KhungCode_Auto.Cons,set_UpdateURL,220,0x254878,protected_or_nonstandard
auth_update,Auto_ThanLong_obfusca.exe,Auto_ThanLong_Kteam_0789998118.KhungCode_Auto.Cons,Login,221,0x25488C,protected_or_nonstandard
auth_update,Auto_ThanLong_obfusca.exe,Auto_ThanLong_Kteam_0789998118.KhungCode_Auto.Cons,UserInfo,222,0x25491C,protected_or_nonstandard
auth_update,Auto_ThanLong_obfusca.exe,Auto_ThanLong_Kteam_0789998118.KhungCode_Auto.Cons,CheckKey,223,0x2549A0,protected_or_nonstandard
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,get_Cum_Server,280,0x257034,protected_or_nonstandard
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,set_Cum_Server,281,0x257090,protected_or_nonstandard
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,get_STT_Server,282,0x2570F4,valid_il_header
account_login,Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,set_STT_Server,283,0x257150,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,get_toadoX,284,0x257178,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,set_toadoX,285,0x2571C0,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,get_toadoY,286,0x257214,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.AccountInfo,set_toadoY,287,0x25725C,protected_or_nonstandard
vision_perception,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_ImageScreen,323,0x257C4C,protected_or_nonstandard
vision_perception,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_ImageScreen,324,0x257CA8,valid_il_header
pet_mount,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_phanloaithucan,325,0x257CFC,valid_il_header
pet_mount,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_phanloaithucan,326,0x257D58,protected_or_nonstandard
storage,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_catdovaokho,327,0x257DAC,protected_or_nonstandard
storage,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_catdovaokho,328,0x257DF4,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_dichuyen,333,0x257F84,protected_or_nonstandard
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_dichuyen,334,0x257FE0,protected_or_nonstandard
activity_thuylao,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_TRANGTHAI_THUYLAO,341,0x25820C,protected_or_nonstandard
activity_thuylao,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_TRANGTHAI_THUYLAO,342,0x258268,protected_or_nonstandard
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_TRANGTHAITIMACTAC,343,0x258290,protected_or_nonstandard
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_TRANGTHAITIMACTAC,344,0x2582A8,protected_or_nonstandard
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_TRANGTHAI_ACTAC,353,0x25859C,valid_il_header
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_TRANGTHAI_ACTAC,354,0x2585E4,protected_or_nonstandard
captcha,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_slCAPTCHA,359,0x258768,valid_il_header
captcha,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_slCAPTCHA,360,0x258780,valid_il_header
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_tenmaptrain,361,0x2587E4,protected_or_nonstandard
train_combat,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_tenmaptrain,362,0x258840,protected_or_nonstandard
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_toado_actac,363,0x2588A4,valid_il_header
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_toado_actac,363,0x2588A4,valid_il_header
activity_actac,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_toado_actac,364,0x2588EC,valid_il_header
travel_navigation,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_toado_actac,364,0x2588EC,valid_il_header
core_orchestration,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_QuestThread,370,0x258ACC,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_QuestThread,370,0x258ACC,protected_or_nonstandard
core_orchestration,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_QuestThread,371,0x258B14,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_QuestThread,371,0x258B14,protected_or_nonstandard
core_orchestration,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_CheckQuestThread,372,0x258B8C,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_CheckQuestThread,372,0x258B8C,protected_or_nonstandard
core_orchestration,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_CheckQuestThread,373,0x258BE8,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,set_CheckQuestThread,373,0x258BE8,protected_or_nonstandard
quest_level,Auto_ThanLong_obfusca.exe,KhungCode_Auto.DeviceInfo,get_IsSelectAllQuest,374,0x258C4C,protected_or_nonstandard
